prompt,file,category,subcategory
Surface irrigation can be subdivided into ,profession_prompt.json,engineering_branches,Irrigation
Contingency pricing is widely used in ,profession_prompt.json,engineering_branches,Pricing
Peak pricing has caught the public's ,profession_prompt.json,engineering_branches,Pricing
Biotechnology training is also offered at ,profession_prompt.json,engineering_branches,Biotechnology
Whether or not green biotechnology products ,profession_prompt.json,engineering_branches,Biotechnology
"During an engineering management course, students ",profession_prompt.json,engineering_branches,Engineering
"Logan, Robert K. What is ",profession_prompt.json,engineering_branches,Information
The most recent book on speech recognition ,profession_prompt.json,engineering_branches,Speech_recognition
Recoverable spacecraft may be reusable or ,profession_prompt.json,engineering_branches,Spacecraft
Costs of construction on a per ,profession_prompt.json,engineering_branches,Construction
Conditions contributing to a successful wind farm ,profession_prompt.json,engineering_branches,Wind_farm
Important elements of modern materials science were ,profession_prompt.json,engineering_branches,Materials_science
Offshore wind turbines are built up to ,profession_prompt.json,engineering_branches,Wind_turbine
"Data processing commonly occurs by stages, ",profession_prompt.json,engineering_branches,Data
Natural gas is a widespread heating ,profession_prompt.json,engineering_branches,Heating
"Reliability engineering may in that case involve:

System ",profession_prompt.json,engineering_branches,Reliability_engineering
"In addition, electrification with renewable energy is ",profession_prompt.json,engineering_branches,Renewable_energy
"Therefore, the field of bioinformatics has ",profession_prompt.json,engineering_branches,Bioinformatics
"In some newer radio telescope designs, ",profession_prompt.json,engineering_branches,Telescope
"Therefore, automation has been extensively employed ",profession_prompt.json,engineering_branches,Automation
Business Graphics can be used to ,profession_prompt.json,engineering_branches,Graphics
Air conditioning also allows buildings to be ,profession_prompt.json,engineering_branches,Air_conditioning
"In computer science, artificial intelligence, sometimes called ",profession_prompt.json,engineering_branches,Artificial_intelligence
"Knowledge is a familiarity, awareness, or ",profession_prompt.json,engineering_branches,Knowledge
Photonic biosensors with ultra-sensitivity are nowadays ,profession_prompt.json,engineering_branches,Biosensors
Electricity is the set of physical ,profession_prompt.json,engineering_branches,Electricity
Machine learning is the study of computer ,profession_prompt.json,engineering_branches,Machine_learning
Nanotechnology is  manipulation of ,profession_prompt.json,engineering_branches,Nanotechnology
Nanosensors are nanoscale devices that measure ,profession_prompt.json,engineering_branches,Nanosensors
A mathematical model is a description of ,profession_prompt.json,engineering_branches,Mathematical_model
An audio engineer helps to produce a ,profession_prompt.json,engineering_branches,Audio_engineer
"In electrical engineering,  partial discharge is ",profession_prompt.json,engineering_branches,Partial_discharge
Interdisciplinarity or interdisciplinary studies involves the ,profession_prompt.json,engineering_branches,Interdisciplinarity
Ecological engineering uses ecology and engineering to ,profession_prompt.json,engineering_branches,Ecological_engineering
Most electric motors operate through the interaction between ,profession_prompt.json,engineering_branches,Electric_motors
A computer program is a collection of ,profession_prompt.json,engineering_branches,Computer_program
Embedded systems control many devices in common ,profession_prompt.json,engineering_branches,Embedded_systems
Optics is the branch of physics ,profession_prompt.json,engineering_branches,Optics
"Information theory studies the quantification, storage, and ",profession_prompt.json,engineering_branches,Information_theory
Software engineering is the systematic application of ,profession_prompt.json,engineering_branches,Software_engineering
Synthetic biology is a multidisciplinary area of ,profession_prompt.json,engineering_branches,Synthetic_biology
"Security is freedom from, or resilience against, ",profession_prompt.json,engineering_branches,Security
A molecule is an electrically neutral ,profession_prompt.json,engineering_branches,Molecule
Scientific journals communicate and document the ,profession_prompt.json,engineering_branches,Scientific
"Channel drainage, which intercepts water along ",profession_prompt.json,engineering_branches,Drainage
Combat engineers typically support this role through ,profession_prompt.json,engineering_branches,Combat_engineer
All mechanical engineering programs include multiple semesters ,profession_prompt.json,engineering_branches,Mechanical_engineering
Other significant military engineering projects of World War II ,profession_prompt.json,engineering_branches,Military_engineering
The FIRST Robotics Competition focuses more ,profession_prompt.json,engineering_branches,Robotics
Indoor switchgear can also be type ,profession_prompt.json,engineering_branches,Switchgear
Developed countries regulate manufacturing activity with ,profession_prompt.json,engineering_branches,Manufacturing
Air traffic control privatization has been successful in ,profession_prompt.json,engineering_branches,Air_traffic_control
DBLP Computer Science Bibliography: computer science bibliography ,profession_prompt.json,engineering_branches,Computer_science
"including ""Medical imaging produced by x-rays, ultrasounds, ",profession_prompt.json,engineering_branches,Medical_imaging
Immuno-informed biomaterials that direct the immune ,profession_prompt.json,engineering_branches,Biomaterial
Life: An Introduction to Complex Systems ,profession_prompt.json,engineering_branches,Systems_biology
"However, ""opportunistic premises plumbing pathogens"" have ",profession_prompt.json,engineering_branches,Plumbing
Ferrous metallurgy involves processes and alloys ,profession_prompt.json,engineering_branches,Metallurgy
"CRC Press, 2005
Onwubolu, Godfrey C., ",profession_prompt.json,engineering_branches,Mechatronics
Model predictive control systems are designed using ,profession_prompt.json,engineering_branches,Control_system
"Image Processing, Analysis, and Machine ",profession_prompt.json,engineering_branches,Image_processing
"""Modern Control Theory – A historical ",profession_prompt.json,engineering_branches,Control_theory
Biomolecular engineering is a subset of Chemical ,profession_prompt.json,engineering_branches,Biomolecular_engineering
Among these include tissue bioreactors that ,profession_prompt.json,engineering_branches,Bioreactor
Telecommunication through radio broadcasts is called ,profession_prompt.json,engineering_branches,Telecommunication
"""""Industrial Engineering is the branch of Engineering ",profession_prompt.json,engineering_branches,Industrial_engineering
In healthcare Nanozymes are nanomaterials with ,profession_prompt.json,engineering_branches,Nanomaterials
Clinical engineering classes are attended throughout the ,profession_prompt.json,engineering_branches,Clinical_engineering
The index driving the classic Wayback Machine ,profession_prompt.json,engineering_branches,Wayback_Machine
Its charter defined civil engineering as:the art ,profession_prompt.json,engineering_branches,Civil_engineering
The first tissue engineering products started to ,profession_prompt.json,engineering_branches,Tissue_engineering
Modern geotechnical engineering is said to have ,profession_prompt.json,engineering_branches,Geotechnical_engineering
Genetic engineering is also being used to ,profession_prompt.json,engineering_branches,Genetic_engineering
Plastic optical fibers are commonly step-index multi-mode ,profession_prompt.json,engineering_branches,Optical_fibers
Chemical engineering principles were used to produce ,profession_prompt.json,engineering_branches,Chemical_engineering
Integrated photonics can realize LIDAR within ,profession_prompt.json,engineering_branches,Photonics
A Century of Electrical Engineering and Computer ,profession_prompt.json,engineering_branches,Electrical_engineering
Another feature of late 20th-century opera ,profession_prompt.json,theatre_personnel,Opera
Many contemporary 21st century opera composers ,profession_prompt.json,theatre_personnel,Opera
"Dorschel, Andreas, 'The Paradox of Opera', ",profession_prompt.json,theatre_personnel,Opera
Examples of famous operas in the ,profession_prompt.json,theatre_personnel,Opera
One example in the late-century orchestral ,profession_prompt.json,theatre_personnel,Orchestra
"Orchestras, choirs, concert bands and other ",profession_prompt.json,theatre_personnel,Orchestra
An orchestra is a large instrumental ,profession_prompt.json,theatre_personnel,Orchestra
"Although Baroque composers also wrote sonatas, ",profession_prompt.json,theatre_personnel,Composer
"During this period, composers developed several ",profession_prompt.json,theatre_personnel,Composer
Melodramatic films tend to use plots ,profession_prompt.json,theatre_personnel,Melodrama
The melodrama reflected post-industrial revolution anxieties ,profession_prompt.json,theatre_personnel,Melodrama
Building Romanticism: Literature and Architecture in ,profession_prompt.json,theatre_personnel,Romanticism
Spanish Romanticism also influenced regional ,profession_prompt.json,theatre_personnel,Romanticism
Ballet & Modern Dance: A Concise ,profession_prompt.json,theatre_personnel,Ballet
Contemporary ballet is also close to ,profession_prompt.json,theatre_personnel,Ballet
Actors in recurring roles are ,profession_prompt.json,theatre_personnel,Actor
Actor is also used before the ,profession_prompt.json,theatre_personnel,Actor
Everdell also thinks modernism in painting ,profession_prompt.json,theatre_personnel,Modernism
"Theatre exploded, with influence from French ",profession_prompt.json,theatre_personnel,Theatre
One of the publicist's main functions ,profession_prompt.json,theatre_personnel,Publicist
"A  ""dress rehearsal"" is a rehearsal ",profession_prompt.json,theatre_personnel,Rehearsal
Sound design is the art and practice of ,profession_prompt.json,theatre_personnel,Sound_design
Drama is the specific mode of ,profession_prompt.json,theatre_personnel,Drama
Tragedy  is a form of ,profession_prompt.json,theatre_personnel,Tragedy
An audio engineer helps to produce a ,profession_prompt.json,theatre_personnel,Audio_engineer
Character actors tend to play the same ,profession_prompt.json,theatre_personnel,Character_actor
This nude performance contributes to a ,profession_prompt.json,theatre_personnel,Performance
"In the United States, artistic directors often ",profession_prompt.json,theatre_personnel,Artistic_director
Neoclassicism and neo-Renaissance persisted in less ,profession_prompt.json,theatre_personnel,Neoclassicism
Theatrical Sound Designers in English Canada are ,profession_prompt.json,theatre_personnel,Sound_Designer
If the stage manager is unable to ,profession_prompt.json,theatre_personnel,Stage_manager
Stagehands in the United States and ,profession_prompt.json,theatre_personnel,Stagehand
The longest-running piece of musical theatre of ,profession_prompt.json,theatre_personnel,Musical_theatre
Most wardrobe supervisors are very qualified ,profession_prompt.json,theatre_personnel,Wardrobe_supervisor
In the U.S. many professional dancers ,profession_prompt.json,theatre_personnel,Dancer
Lighting technicians are routinely required to lift ,profession_prompt.json,theatre_personnel,Lighting_technician
A glove is a garment covering ,profession_prompt.json,sewing_occupations,Glove
Gloves protect and comfort hands against ,profession_prompt.json,sewing_occupations,Glove
Washing mitt or Washing glove: a ,profession_prompt.json,sewing_occupations,Glove
A corset is a garment worn ,profession_prompt.json,sewing_occupations,Corset
Someone who makes corsets is a ,profession_prompt.json,sewing_occupations,Corset
Corsets began to be made with ,profession_prompt.json,sewing_occupations,Corset
"Esquire declared the zipper the ""Newest ",profession_prompt.json,sewing_occupations,Zipper
These zippers are very common where ,profession_prompt.json,sewing_occupations,Zipper
Shadow trapunto – This involves quilting ,profession_prompt.json,sewing_occupations,Quilting
Both synthetic and natural yarns can ,profession_prompt.json,sewing_occupations,Yarn
"In lower-quality scissors, the cutting edges ",profession_prompt.json,sewing_occupations,Scissors
"Thimble artists would also utilize enameling, ",profession_prompt.json,sewing_occupations,Thimble
For many end-uses the selvage is ,profession_prompt.json,sewing_occupations,Selvage
A sewing machine is a machine used ,profession_prompt.json,sewing_occupations,Sewing_machine
The buckle or clasp is a ,profession_prompt.json,sewing_occupations,Buckle
Embroidery is the craft of decorating ,profession_prompt.json,sewing_occupations,Embroidery
Cross-stitch is a form of sewing ,profession_prompt.json,sewing_occupations,Cross-stitch
A textile is a flexible material ,profession_prompt.json,sewing_occupations,Textile
Sewing is the craft of fastening ,profession_prompt.json,sewing_occupations,Sewing
A tailor is a person who ,profession_prompt.json,sewing_occupations,Tailor
Taxidermy is the art of preserving ,profession_prompt.json,sewing_occupations,Taxidermy
A tape measure of 25 or even ,profession_prompt.json,sewing_occupations,Tape_measure
Traditional embroidery using pattern darning is ,profession_prompt.json,sewing_occupations,Darning
"ISBN 0-500-27360-X
Lewis, A. W. Basic ",profession_prompt.json,sewing_occupations,Bookbinding
A Parachute Rigger is authorised to manufacture ,profession_prompt.json,sewing_occupations,Parachute_rigger
A machine-made buttonhole is usually sewn ,profession_prompt.json,sewing_occupations,Buttonhole
"Long, narrow bobbins are used in ",profession_prompt.json,sewing_occupations,Bobbin
"Sleeved grommets have a flexible extension, ",profession_prompt.json,sewing_occupations,Grommet
Industrial overlock machines are generally made ,profession_prompt.json,sewing_occupations,Overlock
This neckline is often seen on ,profession_prompt.json,sewing_occupations,Neckline
Bone and ivory needlecases and ,profession_prompt.json,sewing_occupations,Needlecase
Dress forms come in all sizes and ,profession_prompt.json,sewing_occupations,Dress_form
"Gussets were used at the shoulders, ",profession_prompt.json,sewing_occupations,Gusset
"the bobby pin), or two strips of ",profession_prompt.json,sewing_occupations,Pin
A lockstitch is the most common ,profession_prompt.json,sewing_occupations,Lockstitch
They are sometimes called hypercomplex ,profession_prompt.json,scientific_occupations,Number
"Therefore, almost all real numbers are ",profession_prompt.json,scientific_occupations,Number
A number is a mathematical object ,profession_prompt.json,scientific_occupations,Number
Philosophy of science seeks a deep ,profession_prompt.json,scientific_occupations,Science
"Nevertheless, the formal sciences play an ",profession_prompt.json,scientific_occupations,Science
Analytical chemistry incorporates standardized experimental methods ,profession_prompt.json,scientific_occupations,Chemist
"In 1663, the chemist Christopher Glaser ",profession_prompt.json,scientific_occupations,Chemist
The idea behind space-time is that ,profession_prompt.json,scientific_occupations,Space
Other areas of computational mathematics include ,profession_prompt.json,scientific_occupations,Mathematics
Residency in anatomical pathology is open ,profession_prompt.json,scientific_occupations,Pathology
Calculus Problems and Solutions by ,profession_prompt.json,scientific_occupations,Calculus
"Data processing commonly occurs by stages, ",profession_prompt.json,scientific_occupations,Data
A structure is an arrangement and ,profession_prompt.json,scientific_occupations,Structure
A psychologist studies normal and abnormal ,profession_prompt.json,scientific_occupations,Psychologist
"Nonetheless, today, archaeologists face many problems, ",profession_prompt.json,scientific_occupations,Archaeologist
A neuroscientist is a scientist who ,profession_prompt.json,scientific_occupations,Neuroscientist
A biologist is a professional who ,profession_prompt.json,scientific_occupations,Biologist
The Space Shuttle was a partially reusable ,profession_prompt.json,scientific_occupations,Space_Shuttle
While some sociologists conduct research that ,profession_prompt.json,scientific_occupations,Sociologist
Biochemists are scientists that are trained ,profession_prompt.json,scientific_occupations,Biochemist
An engineering technologist is a professional trained ,profession_prompt.json,scientific_occupations,Engineering_technologist
A hobby is a regular activity ,profession_prompt.json,scientific_occupations,Hobby
A circle of historians inside the ,profession_prompt.json,scientific_occupations,Historian
"However, forensic anthropologists tend to gravitate ",profession_prompt.json,scientific_occupations,Anthropologist
All mechanical engineering programs include multiple semesters ,profession_prompt.json,scientific_occupations,Mechanical_engineering
"At NASA, those who complete astronaut ",profession_prompt.json,scientific_occupations,Astronaut
59% of scientists in the United States were ,profession_prompt.json,scientific_occupations,Scientist
The urban planner will be responsible for ,profession_prompt.json,scientific_occupations,Urban_planner
Learn what mathematicians do on a ,profession_prompt.json,scientific_occupations,Mathematician
The rights and immunities of diplomatic missions ,profession_prompt.json,scientific_occupations,Diplomatic_mission
Community ecologists study the determinants of ,profession_prompt.json,scientific_occupations,Ecologist
Microbiologists in industry roles may have ,profession_prompt.json,scientific_occupations,Microbiologist
"Medical laboratory scientists receive the patient specimens, analyze ",profession_prompt.json,scientific_occupations,Medical_laboratory_scientist
Geographers are making notable contributions to ,profession_prompt.json,scientific_occupations,Geographer
Professional astronomers are highly educated individuals ,profession_prompt.json,scientific_occupations,Astronomer
(1992) Dance As a Theatre Art: ,profession_prompt.json,dance_occupations,Dance
"Dancesport, which is focused exclusively on ",profession_prompt.json,dance_occupations,Dance
Dance is a performing art form ,profession_prompt.json,dance_occupations,Dance
"Vera Shvetsova, ballet master of the State ",profession_prompt.json,dance_occupations,Ballet_master
"John Neumeier, ballet master of the Hamburg ",profession_prompt.json,dance_occupations,Ballet_master
Ballet & Modern Dance: A Concise ,profession_prompt.json,dance_occupations,Ballet
Modern Western square dance events in Britain ,profession_prompt.json,dance_occupations,Square_dance
This Spanish Waltz was a combination of ,profession_prompt.json,dance_occupations,Waltz
Contra dance is a folk dance made ,profession_prompt.json,dance_occupations,Contra_dance
"Breaking, also called breakdancing or b-boying/b-girling, ",profession_prompt.json,dance_occupations,Breakdancing
Hip-hop dance refers to street dance styles ,profession_prompt.json,dance_occupations,Hip-hop_dance
(1992) Ballet & Modern Dance: A Concise ,profession_prompt.json,dance_occupations,Modern_dance
Belly dance has now spread across the ,profession_prompt.json,dance_occupations,Belly_dance
Hetherington and Munro describe dancing mania as ,profession_prompt.json,dance_occupations,Dancing_mania
"However, many ballet dancers do start on ",profession_prompt.json,dance_occupations,Ballet_dancer
A typical pole dance exercise regimen in ,profession_prompt.json,dance_occupations,Pole_dance
"Jazz music and tap dance declined, while ",profession_prompt.json,dance_occupations,Tap_dance
"""The primary effect of ecstatic dance is ",profession_prompt.json,dance_occupations,Ecstatic_dance
At least five line dances that are ,profession_prompt.json,dance_occupations,Line_dance
"In this way, analytical postmodern dance aligned ",profession_prompt.json,dance_occupations,Postmodern_dance
"After the dance therapy session, the participants ",profession_prompt.json,dance_occupations,Dance_therapy
Also a popular folk dance of Pashtuns ,profession_prompt.json,dance_occupations,Folk_dance
The Irish dance masters of this period ,profession_prompt.json,dance_occupations,Irish_dance
The representative costumes worn by Ukrainian dancers ,profession_prompt.json,dance_occupations,Ukrainian_dance
In the U.S. many professional dancers ,profession_prompt.json,dance_occupations,Dancer
"Several dance notation systems have been invented, ",profession_prompt.json,dance_occupations,Dance_notation
Jewellery or jewelry consists of decorative ,profession_prompt.json,metalworking_occupations,Jewellery
Jewellery has been made to adorn ,profession_prompt.json,metalworking_occupations,Jewellery
The Trade Union Movement of Canada: ,profession_prompt.json,metalworking_occupations,Trade_union
National and regional trade unions organizing in ,profession_prompt.json,metalworking_occupations,Trade_union
The first comprehensive theories of management ,profession_prompt.json,metalworking_occupations,Management
"Based on this, management must have ",profession_prompt.json,metalworking_occupations,Management
Statistics offers methods to estimate and ,profession_prompt.json,metalworking_occupations,Statistics
The mathematical foundations of modern statistics ,profession_prompt.json,metalworking_occupations,Statistics
If the micrometer is in good ,profession_prompt.json,metalworking_occupations,Micrometer
The furniture of the Middle Ages ,profession_prompt.json,metalworking_occupations,Furniture
Important elements of modern materials science were ,profession_prompt.json,metalworking_occupations,Materials_science
Quality wrought-iron blacksmithing takes the direction ,profession_prompt.json,metalworking_occupations,Blacksmith
A Custom Gunsmith also builds high-end ,profession_prompt.json,metalworking_occupations,Gunsmith
Important early machine tools included the slide ,profession_prompt.json,metalworking_occupations,Machine_tool
"Therefore, automation has been extensively employed ",profession_prompt.json,metalworking_occupations,Automation
A truck driver  is a person ,profession_prompt.json,metalworking_occupations,Truck_driver
"An inspection is, most generally, an ",profession_prompt.json,metalworking_occupations,Inspection
Marquetry is the art and ,profession_prompt.json,metalworking_occupations,Marquetry
Scrap consists of recyclable materials left ,profession_prompt.json,metalworking_occupations,Scrap
"Instead, most hobby CNC tools simply ",profession_prompt.json,metalworking_occupations,CNC
All mechanical engineering programs include multiple semesters ,profession_prompt.json,metalworking_occupations,Mechanical_engineering
Ferrous metallurgy involves processes and alloys ,profession_prompt.json,metalworking_occupations,Metallurgy
"Rarely, machinists also work with exotic ",profession_prompt.json,metalworking_occupations,Machinist
"""""Industrial Engineering is the branch of Engineering ",profession_prompt.json,metalworking_occupations,Industrial_engineering
Engineering drawings could be readily doubled in ,profession_prompt.json,metalworking_occupations,Engineering_drawing
There is also a farrier on ,profession_prompt.json,metalworking_occupations,Farrier
Midwifery services are free to women ,profession_prompt.json,healthcare_occupations,Midwife
A community midwife typically has a ,profession_prompt.json,healthcare_occupations,Midwife
"In the Imperial household, the pharmacist ",profession_prompt.json,healthcare_occupations,Pharmacist
The salaries of pharmacists varied significantly ,profession_prompt.json,healthcare_occupations,Pharmacist
"Chiropractors have criticized this conclusion, claiming ",profession_prompt.json,healthcare_occupations,Chiropractor
Bills to further prohibit non-chiropractors from ,profession_prompt.json,healthcare_occupations,Chiropractor
Occupational Therapist treats conditions ranging from soft ,profession_prompt.json,healthcare_occupations,Occupational_Therapist
"Outpatient services
Occupational therapists might also work with ",profession_prompt.json,healthcare_occupations,Occupational_Therapist
"Moreover, Kentucky legislation permits optometrists to ",profession_prompt.json,healthcare_occupations,Optometrist
Practising optometrists will also be required ,profession_prompt.json,healthcare_occupations,Optometrist
Only after qualifying do radiographers in ,profession_prompt.json,healthcare_occupations,Radiographer
A psychologist studies normal and abnormal ,profession_prompt.json,healthcare_occupations,Psychologist
"A podiatrist, also known as a ",profession_prompt.json,healthcare_occupations,Podiatrist
It is practiced by physical ,profession_prompt.json,healthcare_occupations,Physical_Therapist
A neurologist is a physician specializing in ,profession_prompt.json,healthcare_occupations,Neurologist
The main tasks of a general practitioner ,profession_prompt.json,healthcare_occupations,General_practitioner
"In 2015, Glassdoor rated physician assistant as ",profession_prompt.json,healthcare_occupations,Physician_Assistant
"Peter Adolph Gad, Danish ophthalmologist who ",profession_prompt.json,healthcare_occupations,Ophthalmologist
"In 2015, Glassdoor rated physician assistant as ",profession_prompt.json,healthcare_occupations,Physician_assistant
"In order to maintain certification, anesthesiologist assistants ",profession_prompt.json,healthcare_occupations,Anesthesiologist_Assistant
Some psychiatrists specialize in helping certain ,profession_prompt.json,healthcare_occupations,Psychiatrist
"After residency, many anesthesiologists complete an ",profession_prompt.json,healthcare_occupations,Anesthesiologist
It is still said that geisha ,profession_prompt.json,entertainer_occupations,Geisha
A geisha always wear a short-sleeved ,profession_prompt.json,entertainer_occupations,Geisha
Many trends that geisha started became ,profession_prompt.json,entertainer_occupations,Geisha
If the writers' purpose in re-writing ,profession_prompt.json,entertainer_occupations,Writer
Robinson Crusoe is a fictional writer ,profession_prompt.json,entertainer_occupations,Writer
Examples of well-known writers who used ,profession_prompt.json,entertainer_occupations,Writer
"""Court entertainment often moved from being ",profession_prompt.json,entertainer_occupations,Entertainment
Entertainment may skilfully consider universal philosophical ,profession_prompt.json,entertainer_occupations,Entertainment
Actors in recurring roles are ,profession_prompt.json,entertainer_occupations,Actor
Actor is also used before the ,profession_prompt.json,entertainer_occupations,Actor
A singer does not hear the ,profession_prompt.json,entertainer_occupations,Singer
"A drag queen is a person, usually ",profession_prompt.json,entertainer_occupations,Drag_Queen
Email messages with MIME formatting are ,profession_prompt.json,entertainer_occupations,Mime
Minstrels were required to either join ,profession_prompt.json,entertainer_occupations,Minstrel
"They found that comedians scored ""significantly ",profession_prompt.json,entertainer_occupations,Comedian
"The actual practice of ""benshi"" is ",profession_prompt.json,entertainer_occupations,Benshi
In the U.S. many professional dancers ,profession_prompt.json,entertainer_occupations,Dancer
As the Harlequinade portion of English ,profession_prompt.json,entertainer_occupations,Harlequin
"Ring girls are often seen in boxing, ",profession_prompt.json,entertainer_occupations,Ring_girl
"Art, at its simplest, is a ",profession_prompt.json,artistic_occupations,Art
"In the east, Islamic art's rejection ",profession_prompt.json,artistic_occupations,Art
The resultant piece of artwork may ,profession_prompt.json,artistic_occupations,Art
Theories and Documents of Contemporary ,profession_prompt.json,artistic_occupations,Art
If the writers' purpose in re-writing ,profession_prompt.json,artistic_occupations,Writer
Robinson Crusoe is a fictional writer ,profession_prompt.json,artistic_occupations,Writer
Pottery making began in the 7th ,profession_prompt.json,artistic_occupations,Pottery
Before pottery becomes part of a ,profession_prompt.json,artistic_occupations,Pottery
Other prestigious architectural awards are the ,profession_prompt.json,artistic_occupations,Architect
A singer does not hear the ,profession_prompt.json,artistic_occupations,Singer
A curator is a manager or ,profession_prompt.json,artistic_occupations,Curator
A baker is a tradesperson who ,profession_prompt.json,artistic_occupations,Baker
"Beyond those, interior designers, particularly those with ",profession_prompt.json,artistic_occupations,Interior_designer
Modern sculptors use both classical and ,profession_prompt.json,artistic_occupations,Sculptor
Graphic designers are expected to be proficient ,profession_prompt.json,artistic_occupations,Graphic_designer
In the U.S. many professional dancers ,profession_prompt.json,artistic_occupations,Dancer
New York University's MA in Arts ,profession_prompt.json,artistic_occupations,Arts_administration
"Being a concept artist takes commitment, vision and ",profession_prompt.json,artistic_occupations,Concept_Artist
"In general, attempts by employee bloggers ",profession_prompt.json,writing_occupations,Blog
A blog is a discussion or ,profession_prompt.json,writing_occupations,Blog
These are blog entries or posts ,profession_prompt.json,writing_occupations,Blog
This practice of semi-automated blogging with ,profession_prompt.json,writing_occupations,Blog
If the writers' purpose in re-writing ,profession_prompt.json,writing_occupations,Writer
Robinson Crusoe is a fictional writer ,profession_prompt.json,writing_occupations,Writer
A technical writer who becomes a subject ,profession_prompt.json,writing_occupations,Technical_writer
"Even if a ""bought review"" from ",profession_prompt.json,writing_occupations,Review
He also hired scribes to work ,profession_prompt.json,writing_occupations,Scribe
The traditional copy editor was once defined ,profession_prompt.json,writing_occupations,Copy_editor
"In some cases, publishers use ghostwriters ",profession_prompt.json,writing_occupations,Ghostwriter
An author is the creator or ,profession_prompt.json,writing_occupations,Author
A novelist is an author or ,profession_prompt.json,writing_occupations,Novelist
A speechwriter has to meet with ,profession_prompt.json,writing_occupations,Speechwriter
